Fault  StrikeSlip      DipSlip          Extension
   1    -0.61+/-0.42    -1.38+/-0.64     -0.89+/-0.41
   2    -0.59+/-0.25    -0.97+/-0.43     -0.48+/-0.21
   3    -0.79+/-0.58    -1.04+/-0.75     -0.74+/-0.53
   4    -1.11+/-0.88    -0.77+/-0.95     -0.55+/-0.67
   5     0.20+/-0.59     0.33+/-0.75      0.21+/-0.48
   6     0.22+/-0.45     0.20+/-0.64      0.14+/-0.45
   7    -0.57+/-0.86    -0.17+/-1.01     -0.11+/-0.65
   8    -0.53+/-0.87    -0.34+/-0.99     -0.22+/-0.64
   9    -0.48+/-0.46    -1.49+/-0.44     -1.05+/-0.31
  10     0.01+/-0.55    -0.95+/-0.56     -0.67+/-0.39
  11     0.75+/-0.93    -0.05+/-1.02     -0.01+/-0.26
  12    -1.82+/-0.63    -1.45+/-0.73     -1.02+/-0.52
  13    -0.12+/-0.48    -0.46+/-0.69     -0.29+/-0.44
  14    -1.43+/-0.61    -0.00+/-0.64     -0.00+/-0.45
  15    -1.23+/-0.47    -0.05+/-0.68     -0.04+/-0.43
  16    -2.32+/-0.33    -2.14+/-0.44     -1.38+/-0.28
  17    -1.81+/-0.35     0.15+/-0.43      0.10+/-0.30
  18    -2.10+/-0.66    -0.93+/-0.88     -0.65+/-0.62
  19    -0.30+/-0.70    -0.09+/-0.84     -0.06+/-0.54
  20    -2.80+/-0.46    -2.38+/-1.13     -0.62+/-0.29
  21    -0.02+/-0.57    -0.52+/-0.60     -0.33+/-0.38
  22    -1.36+/-0.61    -1.78+/-0.70     -1.26+/-0.49
  23    -0.48+/-0.57     0.74+/-1.04      0.19+/-0.27
  24    -1.90+/-0.46    -2.03+/-0.46     -1.43+/-0.32
  25    -0.93+/-0.47    -0.86+/-0.54     -0.56+/-0.35
  26    -0.47+/-0.25    -1.32+/-0.42     -0.66+/-0.21
  27     0.13+/-0.37     1.39+/-0.50      0.69+/-0.25
  28     0.22+/-0.45     0.14+/-0.65      0.10+/-0.46
  29    -0.51+/-0.25    -1.23+/-0.42     -0.62+/-0.21
  30    -0.56+/-0.25    -0.99+/-0.43     -0.50+/-0.22
  31    -0.59+/-0.25    -1.02+/-0.42     -0.51+/-0.21
  32    -1.81+/-0.35     0.14+/-0.41      0.10+/-0.29
  33    -1.39+/-0.31     4.25+/-1.01      1.10+/-0.26
  34    -2.18+/-0.81    -0.46+/-1.05     -0.30+/-0.68
  35    -0.52+/-0.49     0.69+/-0.54      0.49+/-0.38
  36    -1.79+/-0.36     0.40+/-0.38      0.29+/-0.27
  37    -2.10+/-0.66    -0.93+/-0.88     -0.66+/-0.62
  38    -0.55+/-0.25    -0.99+/-0.45     -0.49+/-0.22
  39    -2.62+/-0.32    -1.04+/-0.44     -0.67+/-0.28
  40    -2.66+/-0.28     1.78+/-0.40      1.26+/-0.28
  41    -1.88+/-0.67    -0.10+/-0.89     -0.06+/-0.57
  42    -0.63+/-0.25    -0.70+/-0.50     -0.35+/-0.25
  43    -0.52+/-0.65     0.03+/-0.86      0.02+/-0.55
  44    -1.78+/-0.36     0.48+/-0.39      0.34+/-0.27
  45    -1.77+/-0.36     0.53+/-0.40      0.37+/-0.28
  46    -0.89+/-0.63    -1.55+/-0.91     -0.77+/-0.45
  47    -0.41+/-0.59    -1.25+/-0.89     -0.80+/-0.57
  48    -0.56+/-0.41    -0.55+/-0.74     -0.35+/-0.48
  49    -0.22+/-0.50    -0.37+/-0.66     -0.24+/-0.42
  50    -0.60+/-0.57    -0.17+/-0.67     -0.11+/-0.43
  51    -0.22+/-0.50    -0.87+/-0.78     -0.56+/-0.50
  52    -0.78+/-0.59    -1.07+/-0.75     -0.76+/-0.53
  53    -1.43+/-0.61     0.00+/-0.65      0.00+/-0.46
  54    -1.08+/-0.63    -0.91+/-0.91     -0.46+/-0.45
  55    -1.63+/-0.58     0.50+/-0.61      0.35+/-0.43
  56    -0.73+/-0.59    -1.14+/-0.75     -0.80+/-0.53
  57    -0.18+/-0.71    -0.19+/-0.82     -0.13+/-0.58
  58    -0.51+/-0.65    -0.12+/-0.85     -0.08+/-0.55
  59    -1.18+/-0.44    -0.54+/-0.73     -0.35+/-0.47
  60    -1.77+/-0.63    -1.56+/-0.73     -1.10+/-0.52
  61    -1.64+/-0.74    -0.23+/-0.84     -0.17+/-0.59
  62    -1.43+/-0.61    -0.01+/-0.64     -0.01+/-0.45
  63    -2.90+/-0.29     0.70+/-0.39      0.49+/-0.27
  64    -1.78+/-0.36     0.50+/-0.38      0.35+/-0.27
  65    -1.81+/-0.35     0.17+/-0.38      0.12+/-0.27
  66     0.71+/-0.31    -0.04+/-0.45     -0.03+/-0.29
  67    -1.65+/-0.57    -0.40+/-0.62     -0.29+/-0.44
  68    -2.32+/-0.46     1.04+/-0.62      0.73+/-0.44
  69    -2.21+/-0.27    -0.03+/-0.38     -0.02+/-0.27
  70    -0.61+/-0.49     0.53+/-0.55      0.38+/-0.39
  71    -1.08+/-0.60    -0.60+/-0.72     -0.43+/-0.51
  72    -1.02+/-0.61    -0.76+/-0.70     -0.54+/-0.50
  73    -1.54+/-0.26     0.59+/-0.33      0.41+/-0.23
  74    -1.40+/-0.50    -0.04+/-1.04     -0.03+/-0.74
  75    -1.11+/-0.60    -0.49+/-0.72     -0.34+/-0.51
  76    -1.08+/-0.60    -0.60+/-0.72     -0.42+/-0.51
  77    -0.07+/-0.59    -0.61+/-0.70     -0.39+/-0.45
  78    -0.28+/-0.42    -0.54+/-0.70     -0.14+/-0.18
  79    -0.51+/-0.58     0.31+/-0.95      0.08+/-0.24
  80    -2.80+/-0.30    -1.29+/-0.38     -0.91+/-0.27
  81    -0.60+/-0.79    -1.96+/-1.00     -1.26+/-0.64
  82    -1.96+/-0.48    -2.16+/-0.62     -1.39+/-0.40
  83    -2.76+/-0.51     0.16+/-0.80      0.10+/-0.52
  84     0.29+/-0.71     0.58+/-0.92      0.41+/-0.65
  85    -0.93+/-0.74    -4.54+/-0.86     -2.92+/-0.55
  86    -2.76+/-0.40    -0.37+/-0.51     -0.24+/-0.33
  87    -2.35+/-0.78    -4.17+/-0.88     -2.68+/-0.56
  88    -2.18+/-0.82     0.94+/-1.08      0.67+/-0.76
  89    -2.54+/-0.64     0.19+/-0.99      0.13+/-0.70
  90    -0.23+/-0.77    -0.92+/-0.88     -0.59+/-0.57
  91    -2.52+/-0.49    -0.34+/-0.73     -0.22+/-0.47
  92     0.03+/-0.82    -0.98+/-0.76     -0.63+/-0.49
  93    -1.74+/-0.34    -1.70+/-0.82     -0.44+/-0.21
  94    -2.36+/-0.48    -1.39+/-0.74     -0.90+/-0.48
  95    -1.48+/-0.46    -3.17+/-0.77     -2.04+/-0.50
  96     0.51+/-0.34     1.13+/-0.52      0.56+/-0.26
  97     0.20+/-0.37     1.32+/-0.53      0.66+/-0.26
  98     0.11+/-0.37     1.44+/-0.46      0.72+/-0.23
  99     0.22+/-0.45     0.16+/-0.64      0.11+/-0.45
 100     0.22+/-0.45     0.18+/-0.64      0.12+/-0.45
 101     0.10+/-0.37     1.42+/-0.48      0.71+/-0.24
 102     0.54+/-0.34     1.05+/-0.53      0.53+/-0.27
 103     0.54+/-0.34     1.03+/-0.54      0.52+/-0.27
 104     0.20+/-0.37     1.42+/-0.45      0.71+/-0.23
 105     0.75+/-0.93    -0.05+/-1.02     -0.01+/-0.26
 106     0.75+/-0.93    -0.04+/-1.02     -0.01+/-0.26
 107     0.02+/-0.53     0.82+/-0.74      0.58+/-0.52
 108     0.19+/-0.59     0.33+/-0.76      0.21+/-0.49
 109     0.91+/-0.67    -0.80+/-1.11     -0.30+/-0.41
 110     0.91+/-0.67    -0.80+/-1.11     -0.30+/-0.41
 111     0.07+/-0.55    -0.96+/-0.55     -0.68+/-0.39
 112    -2.41+/-0.55    -2.07+/-0.72     -1.33+/-0.46
 113     0.22+/-0.45     0.22+/-0.64      0.15+/-0.45
 114     1.29+/-0.84    -0.92+/-1.58     -0.24+/-0.41
 115    -0.94+/-0.40    -0.94+/-0.55     -0.67+/-0.39
 116    -1.94+/-0.48    -2.20+/-0.62     -1.41+/-0.40
 117    -2.32+/-0.39    -2.37+/-0.52     -1.53+/-0.33
 118    -2.78+/-0.40    -0.35+/-0.50     -0.23+/-0.32
 119    -1.81+/-0.35     0.26+/-0.39      0.19+/-0.27
 120    -2.69+/-0.31    -0.43+/-0.45     -0.27+/-0.29
 121    -1.81+/-0.35     0.13+/-0.40      0.09+/-0.28
 122    -0.59+/-0.25    -0.99+/-0.42     -0.50+/-0.21
 123    -1.88+/-0.77    -1.77+/-1.10     -1.14+/-0.71
 124    -1.91+/-0.33    -2.96+/-0.44     -1.90+/-0.28
 125    -0.52+/-0.25    -1.18+/-0.41     -0.59+/-0.21
 126     0.45+/-0.35     1.25+/-0.49      0.62+/-0.25
 127    -0.72+/-0.44    -1.27+/-0.49     -0.90+/-0.34
 128     0.28+/-0.37     1.45+/-0.46      0.72+/-0.23
 129    -0.52+/-0.25    -1.31+/-0.46     -0.66+/-0.23
 130    -0.50+/-0.25    -1.30+/-0.44     -0.65+/-0.22
 131    -0.51+/-0.65    -0.17+/-0.85     -0.11+/-0.55
 132    -0.62+/-0.25    -0.78+/-0.48     -0.39+/-0.24
 133    -1.39+/-0.70    -0.15+/-0.87     -0.11+/-0.62
 134    -0.46+/-0.41    -0.74+/-0.74     -0.47+/-0.48
 135     0.08+/-0.90    -0.04+/-1.14     -0.02+/-0.73
 136    -0.19+/-0.49    -0.40+/-0.67     -0.26+/-0.43
 137    -0.30+/-0.70    -0.09+/-0.84     -0.06+/-0.54
 138    -0.97+/-0.63    -1.34+/-0.90     -0.67+/-0.45
 139    -1.88+/-0.67    -0.08+/-0.89     -0.05+/-0.57
 140    -1.39+/-0.71    -0.12+/-0.87     -0.09+/-0.61
 141    -1.39+/-0.71    -0.13+/-0.87     -0.09+/-0.61
 142    -1.68+/-0.62    -1.13+/-0.67     -0.80+/-0.48
 143    -1.22+/-0.48     0.12+/-0.66      0.08+/-0.42
 144    -1.17+/-0.86    -0.58+/-0.97     -0.41+/-0.69
 145    -1.19+/-0.44    -0.50+/-0.73     -0.32+/-0.47
 146    -0.51+/-0.65     0.13+/-0.86      0.09+/-0.55
 147    -2.95+/-0.29     0.01+/-0.39      0.01+/-0.27
 148    -2.10+/-0.66    -0.91+/-0.88     -0.64+/-0.62
 149    -2.58+/-0.32    -1.20+/-0.45     -0.77+/-0.29
 150    -2.48+/-0.32    -1.64+/-0.44     -1.05+/-0.28
 151    -1.81+/-0.35    -0.02+/-0.39     -0.02+/-0.27
 152    -1.81+/-0.35     0.23+/-0.38      0.16+/-0.27
 153    -2.69+/-0.31     0.39+/-0.46      0.25+/-0.30
 154    -1.81+/-0.35     0.17+/-0.38      0.12+/-0.27
 155     0.31+/-0.71     0.56+/-0.92      0.39+/-0.65
 156     0.66+/-0.31    -0.41+/-0.47     -0.26+/-0.30
 157    -0.70+/-0.99     0.43+/-1.33      0.30+/-0.94
 158     0.17+/-0.54     0.15+/-0.66      0.10+/-0.42
 159    -1.29+/-0.62    -1.88+/-0.69     -1.33+/-0.49
 160    -1.55+/-0.59    -1.43+/-0.73     -1.01+/-0.52
 161    -0.50+/-1.00     0.30+/-1.32      0.21+/-0.93
 162    -0.23+/-0.92    -0.43+/-1.19     -0.28+/-0.76
 163    -2.76+/-0.30    -1.44+/-0.39     -1.02+/-0.28
 164    -0.12+/-0.58    -0.55+/-0.70     -0.35+/-0.45
 165     0.41+/-0.66    -1.04+/-1.01     -0.67+/-0.65
 166    -0.07+/-0.59    -0.59+/-0.69     -0.38+/-0.44
 167     0.05+/-0.57    -0.58+/-0.72     -0.38+/-0.46
